day,Colombia,Italy,Spain,Peru,Ecuador,Argentina,Chile,Venezuela,Brazil,Mexico
149,306181.0,240136,248770,407492.0,81161.0,178996.0,351575.0,25805.0,2287475.0,385036.0
150,317651.0,240310,248970,428850.0,82279.0,185373.0,353536.0,26800.0,2343366.0,390516.0
151,327850.0,240436,249271,433100.0,83193.0,191302.0,355667.0,27938.0,2394513.0,395489.0
152,334979.0,240578,249659,439890.0,84370.0,196543.0,357658.0,29088.0,2419091.0,402697.0
153,345714.0,240760,250103,447624.0,85355.0,201919.0,359731.0,30369.0,2442375.0,408449.0
154,357710.0,240961,250545,455409.0,86232.0,206743.0,361493.0,31381.0,2483191.0,416179.0
155,367204.0,241184,250545,463875.0,86232.0,213535.0,362962.0,32607.0,2552265.0,424637.0
156,376870.0,241419,250545,463875.0,87041.0,220682.0,364723.0,33755.0,2610102.0,434193.0
157,387481.0,241611,251789,478024.0,87963.0,228195.0,366671.0,34802.0,2662485.0,439046.0
158,397623.0,241819,252130,483133.0,88866.0,235677.0,368825.0,35697.0,2707877.0,443813.0
159,410453.0,241956,252513,489680.0,90537.0,241811.0,371023.0,36868.0,2733677.0,449961.0
160,422519.0,242149,253056,489680.0,91969.0,246499.0,373056.0,37567.0,2750318.0,456100.0
161,433805.0,242363,253908,498555.0,93572.0,253868.0,375044.0,38219.0,2801921.0,462690.0
162,445111.0,242639,253908,516296.0,94459.0,260911.0,376616.0,38957.0,2859073.0,469407.0
163,456689.0,242827,253908,516296.0,94701.0,268574.0,378168.0,39564.0,2912212.0,475902.0
164,468332.0,243061,255953,525803.0,95563.0,276072.0,380034.0,40338.0,2962442.0,480278.0
165,476660.0,243230,256619,535946.0,97110.0,282437.0,382111.0,41158.0,3012412.0,485836.0
166,489122.0,243344,257494,541493.0,98343.0,289100.0,383902.0,41965.0,3035422.0,492522.0
167,502178.0,243506,258855,549321.0,99409.0,294569.0,385946.0,42898.0,3057470.0,498380.0
168,513719.0,243736,260255,558420.0,100688.0,299126.0,387502.0,43879.0,3109630.0,505751.0
169,522138.0,243967,260255,567059.0,101542.0,305966.0,388855.0,44946.0,3164785.0,511369.0
170,533103.0,244216,260255,576067.0,101751.0,312659.0,390037.0,45868.0,3224876.0,517714.0
171,541139.0,244434,264836,585236.0,102941.0,320884.0,391849.0,46728.0,3275520.0,522162.0
172,551688.0,244624,266194,594326.0,104475.0,329043.0,393769.0,47756.0,3317096.0,525733.0
173,562113.0,244752,267551,600438.0,105508.0,336802.0,395708.0,48883.0,3340197.0,531239.0
174,572243.0,245032,270166,607382.0,106481.0,342154.0,397665.0,49877.0,3359570.0,537031.0
175,581995.0,245338,272421,613378.0,107089.0,350867.0,399568.0,50973.0,3407354.0,543806.0
176,590492.0,245590,272421,621997.0,107769.0,359638.0,400985.0,52165.0,3456652.0,549734.0
177,599884.0,245864,272421,629961.0,108289.0,370188.0,402365.0,53289.0,3501975.0,556216.0
178,607904.0,246118,278782,639435.0,109030.0,380292.0,404102.0,54350.0,3532330.0,560164.0
179,615094.0,246286,280610,647166.0,110549.0,392009.0,405972.0,55563.0,3582362.0,563705.0
180,624026.0,246488,282641,652037.0,111219.0,401239.0,408009.0,56751.0,3605783.0,568621.0
181,633321.0,246776,285430,657129.0,112141.0,408426.0,409974.0,57823.0,3622861.0,573888.0
182,641574.0,247158,288522,657129.0,112906.0,417735.0,411726.0,58663.0,3669995.0,579914.0
183,650063.0,247537,288522,670145.0,113648.0,428239.0,413145.0,59630.0,3717156.0,585738.0
184,658456.0,247832,288522,676848.0,113767.0,439172.0,414739.0,60540.0,3761391.0,591712.0
185,666521.0,248070,297054,683702.0,114309.0,451198.0,416501.0,61569.0,3804803.0,595841.0
